Nome,CPF,Endereço,Telefone,Email,Endereço coleta,Endereço entrega,Peso (kg),Volume (m³),Prioridade
Isabella Aparecida,12923764909,"Sítio Aragão, 30
Ápia
01926635 Siqueira da Mata / AL",+55 (011) 3207-6544,brenopastor@example.org,"Sítio Aragão, 30
Ápia
01926635 Siqueira da Mata / AL","Travessa Samuel Andrade, 36
Renascença
81102-554 Ferreira / PB",2000,5,sim
Ravi Lucca Camargo,41878968646,"Praia de Cavalcanti, 7
Betânia
04407134 Caldeira / RR",61 5861 0293,oda-luz@example.net,"Praia de Cavalcanti, 7
Betânia
04407134 Caldeira / RR","Jardim Luna Moraes, 9
Vila Madre Gertrudes 2ª Seção
63999425 Nascimento / TO",5000,5,sim
Alexia Costela,82848329336,"Sítio de Guerra
Marmiteiros
51402-441 Porto / DF",0300 626 5155,qbarros@example.com,"Sítio de Guerra
Marmiteiros
51402-441 Porto / DF","Chácara Davi Miguel Lima, 64
Vila Vista Alegre
32072-930 Aparecida / PB",5000,3,não
Pedro Lucas Cirino,04107485791,"Vereda Sampaio, 596
Vila Nova Cachoeirinha 1ª Seção
04653-444 Cavalcanti Grande / SP",(084) 9066 2048,arthur74@example.net,"Vereda Sampaio, 596
Vila Nova Cachoeirinha 1ª Seção
04653-444 Cavalcanti Grande / SP","Via Luiz Fernando Câmara, 74
Vila Havaí
26517009 Costa dos Dourados / RR",9000,2,não
Pedro Miguel Cardoso,49109657265,"Setor de Ramos, 6
Madri
82410509 Teixeira do Norte / SP",+55 51 5687 1055,leticiasilva@example.org,"Setor de Ramos, 6
Madri
82410509 Teixeira do Norte / SP","Vila de Pereira, 12
Santa Efigênia
22870-617 Siqueira da Mata / AC",7000,2,não
Srta. Ana Clara Aragão,88183032874,"Colônia Pedro Lucas Teixeira, 52
Cdi Jatoba
64030-598 Aragão de Goiás / TO",+55 31 2098-6088,heitor48@example.com,"Colônia Pedro Lucas Teixeira, 52
Cdi Jatoba
64030-598 Aragão de Goiás / TO","Residencial de Rezende, 301
Nova Suíça
50856-105 Viana / PR",3000,2,sim
Dra. Anna Liz Rios,78914763730,"Avenida Mendonça, 33
Solar Do Barreiro
27416-685 Moura / PA",0800 473 2039,maria-helena69@example.net,"Avenida Mendonça, 33
Solar Do Barreiro
27416-685 Moura / PA","Alameda Calebe Leão, 787
Jardim Felicidade
22312149 Castro / SE",6000,4,sim
Carolina da Paz,95611611175,"Trecho Emanuella Barros, 342
Vila Santa Monica 1ª Seção
83373829 Oliveira / RJ",+55 61 2369-7687,da-luzana-livia@example.net,"Trecho Emanuella Barros, 342
Vila Santa Monica 1ª Seção
83373829 Oliveira / RJ","Praça Vitor Aparecida, 82
Vila Jardim Leblon
00607358 Viana / RS",4000,4,sim
Heitor Pereira,62202787630,"Recanto de da Cruz, 42
Ambrosina
01143109 Mendonça / RR",81 4201 1067,ribeiroanthony-gabriel@example.com,"Recanto de da Cruz, 42
Ambrosina
01143109 Mendonça / RR","Ladeira de Andrade, 516
Vila Coqueiral
64975-931 da Cruz / MA",9000,3,sim
Maria Júlia Marques,81137019232,"Esplanada de Almeida, 298
Lourdes
80423-082 Costela do Amparo / AM",+55 21 3581-8686,gustavoda-luz@example.org,"Esplanada de Almeida, 298
Lourdes
80423-082 Costela do Amparo / AM","Núcleo Peixoto, 6
Buraco Quente
06736546 Teixeira / AC",3000,2,sim
Liam Duarte,53477747896,"Vereda Guerra, 18
Minas Brasil
47513-820 Jesus do Sul / GO",+55 31 5483 0971,fmendonca@example.com,"Vereda Guerra, 18
Minas Brasil
47513-820 Jesus do Sul / GO","Loteamento Samuel Cunha, 912
Copacabana
92352153 Mendes / AM",8000,3,não
Igor Marques,63104576403,"Rua de Gomes, 34
Jardim Alvorada
41339-661 Pires / RS",41 9866 0210,gabriel08@example.com,"Rua de Gomes, 34
Jardim Alvorada
41339-661 Pires / RS","Praça de Casa Grande, 88
São Marcos
82511-898 Cassiano de Castro / PE",10000,1,sim
Théo Nascimento,19454513000,"Avenida de Cavalcanti, 23
Varzea Da Palma
50679-498 Machado da Serra / MA",+55 84 0584 5564,emanuel91@example.net,"Avenida de Cavalcanti, 23
Varzea Da Palma
50679-498 Machado da Serra / MA","Estação de Montenegro, 6
Gutierrez
85784-662 Castro / PR",10000,4,sim
Gustavo Henrique Campos,48460057630,"Esplanada Vicente Campos
Jardim Atlântico
89817322 Gonçalves do Norte / MA",61 2705-8861,noahfarias@example.org,"Esplanada Vicente Campos
Jardim Atlântico
89817322 Gonçalves do Norte / MA","Largo de Rodrigues, 5
Anchieta
27736-426 da Mota de Martins / RS",9000,5,não
Rodrigo Mendonça,13672974600,"Aeroporto de Rocha, 88
Esplanada
43211-142 Nunes / MG",11 3306-5364,qvargas@example.net,"Aeroporto de Rocha, 88
Esplanada
43211-142 Nunes / MG","Estação das Neves, 34
Betânia
64223-583 Gonçalves / BA",9000,3,sim
Juliana Lima,69113181142,"Favela Castro, 508
Vila Califórnia
28824-442 da Mata / PI",84 1214 7364,mariane30@example.org,"Favela Castro, 508
Vila Califórnia
28824-442 da Mata / PI","Esplanada Olivia Jesus, 87
Vista Do Sol
33022162 Sousa / MT",4000,5,sim
Henry Gabriel Monteiro,28347560900,"Residencial Pastor, 2
Belmonte
93788-648 Moura / RS",+55 (021) 2469 5383,ferreiralivia@example.com,"Residencial Pastor, 2
Belmonte
93788-648 Moura / RS","Chácara da Costa, 16
Vila Nova Cachoeirinha 1ª Seção
71194025 Souza / GO",10000,4,não
Cauê Sousa,73641012685,"Esplanada Noah Teixeira, 994
Vila Madre Gertrudes 4ª Seção
71505-598 da Rosa / AC",+55 84 7750 9761,camposmaite@example.org,"Esplanada Noah Teixeira, 994
Vila Madre Gertrudes 4ª Seção
71505-598 da Rosa / AC","Morro Barbosa, 14
São Bernardo
81238-523 Ferreira de das Neves / RJ",3000,5,não
Sr. Ian Mendes,23731080540,"Trevo Fogaça, 52
Goiania
74683-812 Nogueira / RS",+55 21 5217 2437,cirinobeatriz@example.org,"Trevo Fogaça, 52
Goiania
74683-812 Nogueira / RS","Travessa de Cassiano, 76
Sport Club
57510439 Silva de Gomes / PI",10000,5,não
Lorenzo Pires,83294367995,"Sítio de Cavalcanti
Vila Nova Cachoeirinha 3ª Seção
03582-634 Santos da Serra / RS",(011) 9543 2822,igordas-neves@example.org,"Sítio de Cavalcanti
Vila Nova Cachoeirinha 3ª Seção
03582-634 Santos da Serra / RS","Núcleo Pires, 38
São Pedro
96051657 Silva de Gomes / TO",6000,3,sim
Emanuelly Vasconcelos,90183967379,"Avenida Sampaio, 709
Barro Preto
07322-434 Duarte / PA",+55 (084) 3033 8692,claricelopes@example.com,"Avenida Sampaio, 709
Barro Preto
07322-434 Duarte / PA","Fazenda de Andrade, 53
Unidas
17300268 da Rosa / SC",10000,2,não
Davi Barros,68374190218,"Rodovia Yago Nascimento, 34
Canadá
33000112 Macedo da Prata / TO",(021) 9698-2962,maria-luizacasa-grande@example.org,"Rodovia Yago Nascimento, 34
Canadá
33000112 Macedo da Prata / TO","Aeroporto de Leão, 7
Tiradentes
14330948 Borges / SC",8000,1,sim
Vitor Hugo Moura,90006914601,"Estação André Ramos, 62
Mangabeiras
39217-822 Freitas da Mata / PA",+55 51 1759 3604,duartemariana@example.net,"Estação André Ramos, 62
Mangabeiras
39217-822 Freitas da Mata / PA","Avenida de Monteiro, 4
Conjunto Lagoa
62719637 Nunes / CE",8000,1,sim
Dra. Bárbara Vieira,37781927874,"Vereda Maria Laura da Cruz, 578
Bernadete
33699152 Ferreira / AM",(081) 8669 6495,hellena38@example.org,"Vereda Maria Laura da Cruz, 578
Bernadete
33699152 Ferreira / AM","Alameda Pinto, 32
São João
34697-709 Campos de Goiás / RJ",5000,3,sim
Dr. Joaquim Nascimento,01115263614,"Colônia Ramos, 60
Nova Esperança
41862-805 Cardoso / MT",(021) 6481 0492,maria-ceciliacarvalho@example.org,"Colônia Ramos, 60
Nova Esperança
41862-805 Cardoso / MT","Via Melissa Rocha, 47
Pirineus
71990-864 Nascimento do Sul / RR",8000,4,sim
Raul Alves,98881133489,"Parque Rezende, 8
Vila Novo São Lucas
30486-045 Lima de Novaes / TO",+55 11 4851-0524,fernandeshenrique@example.net,"Parque Rezende, 8
Vila Novo São Lucas
30486-045 Lima de Novaes / TO","Avenida Théo Montenegro, 4
Das Industrias I
47387-737 Albuquerque / PA",5000,2,não
Luiz Otávio Porto,33227038353,"Trevo Leandro Fogaça, 50
Mangueiras
26914584 Teixeira / AM",+55 81 5202-9736,qrios@example.org,"Trevo Leandro Fogaça, 50
Mangueiras
26914584 Teixeira / AM","Conjunto João Vitor Novaes, 10
Santa Terezinha
69631746 da Rosa da Praia / TO",8000,3,não
Lunna Alves,40722716758,"Chácara Lívia da Mata, 807
Vila Inestan
48618-908 Rios do Sul / BA",(051) 5906 4874,rafaelalbuquerque@example.com,"Chácara Lívia da Mata, 807
Vila Inestan
48618-908 Rios do Sul / BA","Viaduto Esther Câmara
Conjunto Califórnia I
29458971 Cavalcante / RR",4000,2,sim
Felipe Castro,30533988858,"Chácara de Carvalho, 405
Comiteco
44243297 Mendonça / PR",(081) 6864 0964,cauafarias@example.com,"Chácara de Carvalho, 405
Comiteco
44243297 Mendonça / PR","Setor de Mendonça, 30
Vila Cloris
68552009 Porto Paulista / SE",6000,1,sim
Emanuella Abreu,34380131932,"Travessa de Santos, 56
Vila São Geraldo
22515066 Caldeira / AC",(071) 4457 1526,caldeirasophia@example.net,"Travessa de Santos, 56
Vila São Geraldo
22515066 Caldeira / AC","Distrito Marcela Alves, 96
Distrito Industrial Do Jatoba
44450195 Martins do Amparo / AM",9000,1,não
Antony Pimenta,02834421584,"Feira Giovanna Siqueira, 658
Maravilha
38266234 Novaes / PB",51 9609 4458,marianada-costa@example.com,"Feira Giovanna Siqueira, 658
Maravilha
38266234 Novaes / PB","Travessa Samuel Câmara, 23
Camargos
42441518 da Costa Grande / SE",4000,2,não
Erick Pacheco,60476161940,"Parque Maria Ribeiro, 690
Carlos Prates
25039-134 Sousa / BA",71 5451 6017,falbuquerque@example.org,"Parque Maria Ribeiro, 690
Carlos Prates
25039-134 Sousa / BA","Esplanada Barbosa, 85
Saudade
64803-615 da Rocha do Amparo / DF",9000,3,sim
Nicole Sales,82033303391,"Parque Yasmin da Cunha, 74
Vila Real 2ª Seção
30983884 Correia / PA",+55 41 7134 5829,andradevalentina@example.org,"Parque Yasmin da Cunha, 74
Vila Real 2ª Seção
30983884 Correia / PA","Passarela Giovanna Novais, 82
João Alfredo
74996407 Vieira de Caldeira / AP",7000,3,não
Dante Abreu,51671410956,"Área Abreu
São Paulo
03109-704 Moreira da Mata / PA",41 1046 5235,calebfonseca@example.org,"Área Abreu
São Paulo
03109-704 Moreira da Mata / PA","Rua Bárbara Duarte, 309
Vila Puc
94428-647 Fonseca do Campo / TO",4000,3,não
Heloisa Silveira,94929511343,"Jardim Rezende, 87
São Francisco Das Chagas
27150298 Borges / PR",(084) 7482-5476,levi08@example.com,"Jardim Rezende, 87
São Francisco Das Chagas
27150298 Borges / PR","Vereda de Borges, 469
Vila Pilar
31927-084 Castro da Serra / PI",10000,1,não
Davi Miguel Montenegro,39557305228,"Vereda de Pires
Conjunto Lagoa
66678-829 Oliveira / PR",61 5566-2205,alexandre15@example.com,"Vereda de Pires
Conjunto Lagoa
66678-829 Oliveira / PR","Rodovia de Moraes, 26
Canadá
37506319 Aragão / RO",10000,3,sim
Isabelly Ribeiro,15891600109,"Estação Arthur Miguel Pimenta, 68
Nova Pampulha
87543377 Azevedo Grande / RN",(081) 1345 5488,britomariane@example.com,"Estação Arthur Miguel Pimenta, 68
Nova Pampulha
87543377 Azevedo Grande / RN","Avenida Sousa
Vila Santo Antônio
23449986 Souza / PR",5000,3,sim
Benjamim Teixeira,26348496995,"Núcleo de da Mota, 538
Vila Nova Cachoeirinha 1ª Seção
65741-932 Câmara de Ramos / RJ",0300 116 7447,dcorreia@example.net,"Núcleo de da Mota, 538
Vila Nova Cachoeirinha 1ª Seção
65741-932 Câmara de Ramos / RJ","Lagoa Porto, 57
Cdi Jatoba
45081-897 Andrade / MG",10000,5,não
Agatha Vieira,79085792484,"Parque Casa Grande
Parque São José
31525015 Nascimento de Goiás / SP",(041) 2067-3809,vasconcelossarah@example.org,"Parque Casa Grande
Parque São José
31525015 Nascimento de Goiás / SP","Quadra de Aragão, 53
Vila Do Pombal
32154378 Rios do Oeste / BA",10000,3,não
Dr. Noah Lima,14112418190,"Aeroporto Bento Novaes, 15
Camargos
15671513 Caldeira / DF",+55 51 0835 7895,bellada-mata@example.com,"Aeroporto Bento Novaes, 15
Camargos
15671513 Caldeira / DF","Jardim Câmara, 988
Vila Engenho Nogueira
08477477 Gomes de Gomes / SP",1000,4,sim
Dante Barros,64473921530,"Praça Ana Vitória Guerra, 79
Novo Das Industrias
30328128 Leão / AP",(061) 2800 6418,nicole15@example.org,"Praça Ana Vitória Guerra, 79
Novo Das Industrias
30328128 Leão / AP","Passarela de Alves, 20
São Vicente
14742873 Santos / PI",7000,1,não
Dra. Natália Abreu,38818178404,"Vila Maria Liz Abreu, 99
Mangabeiras
75749-028 Carvalho / RS",61 3643 6481,camargosophie@example.org,"Vila Maria Liz Abreu, 99
Mangabeiras
75749-028 Carvalho / RS","Recanto Mariane Fogaça, 184
São Geraldo
41361014 Sales / TO",6000,5,não
Sophia Costela,33211734922,"Fazenda Aparecida, 34
Santa Isabel
93378647 Porto / SP",0300-448-3738,xsousa@example.org,"Fazenda Aparecida, 34
Santa Isabel
93378647 Porto / SP","Passarela de Lima, 615
Vila Vista Alegre
54146-492 Leão / CE",10000,4,não
Caio Ramos,88230361198,"Praça Rodrigues, 731
Morro Dos Macacos
94669-730 Nogueira / BA",+55 41 9880-4605,lsantos@example.com,"Praça Rodrigues, 731
Morro Dos Macacos
94669-730 Nogueira / BA","Ladeira Luiza Araújo, 362
Maria Virgínia
62927-480 Costa / RO",3000,2,não
Isadora Barbosa,77916597354,"Lagoa de Rios, 8
Olhos D'água
94763896 Vasconcelos / RR",+55 11 8206 3124,asafecunha@example.net,"Lagoa de Rios, 8
Olhos D'água
94763896 Vasconcelos / RR","Praça de Sales, 76
Vila Cloris
77572-137 Cirino / GO",2000,1,sim
Bento Santos,69339749364,"Chácara Davi Silva, 56
Vila Barragem Santa Lúcia
50950-002 Fernandes / SP",(061) 9495 3320,fogacaheloisa@example.com,"Chácara Davi Silva, 56
Vila Barragem Santa Lúcia
50950-002 Fernandes / SP","Recanto de Pires
Canadá
50267622 Pinto Verde / MA",3000,4,sim
Maitê Pacheco,39366937900,"Passarela Montenegro, 84
Horto Florestal
37418-714 Garcia / ES",+55 31 9940-1272,peixotoalexia@example.net,"Passarela Montenegro, 84
Horto Florestal
37418-714 Garcia / ES","Estação da Luz, 74
Padre Eustáquio
89818730 das Neves / MA",5000,3,não
Isabella Nascimento,59004793586,"Via Costa
Vila Pinho
25209310 Macedo da Prata / GO",+55 84 8008 7605,barbosaeloa@example.net,"Via Costa
Vila Pinho
25209310 Macedo da Prata / GO","Lago Vinicius Vasconcelos
Conjunto Providencia
91180990 Dias / RN",1000,1,sim
Sarah Rocha,03769030746,"Área de Almeida, 5
Ventosa
47588121 Silva / ES",11 7736 2057,da-matavicente@example.com,"Área de Almeida, 5
Ventosa
47588121 Silva / ES","Pátio Giovanna Marques, 52
Ribeiro De Abreu
96163453 Correia / MS",3000,2,sim
João Felipe Camargo,95903235025,"Conjunto Isis Jesus, 549
São Sebastião
36851126 Novaes do Norte / ES",0500-937-7244,benjamimgoncalves@example.org,"Conjunto Isis Jesus, 549
São Sebastião
36851126 Novaes do Norte / ES","Colônia Leão, 12
Guarani
59438904 Cavalcante / GO",1000,5,sim
Ravy Moraes,83847815325,"Alameda Souza, 95
Custodinha
72387-323 Ribeiro do Norte / MG",+55 (031) 9119-1554,vborges@example.com,"Alameda Souza, 95
Custodinha
72387-323 Ribeiro do Norte / MG","Lago Lima, 634
Vila Esplanada
10104-323 Novais / AM",6000,5,não
Maysa Porto,18965096145,"Ladeira Ana Carolina Caldeira, 6
Vila Aeroporto
44260585 Marques da Prata / BA",(061) 3030-6100,azevedogael@example.net,"Ladeira Ana Carolina Caldeira, 6
Vila Aeroporto
44260585 Marques da Prata / BA","Sítio Oliveira
Nova Vista
45489-784 Rodrigues Grande / AL",1000,2,sim
Stephany Brito,65093929335,"Residencial Ravi Lucca Mendonça, 75
Marmiteiros
33357702 Vasconcelos de Minas / AL",0300 678 8781,emilly93@example.net,"Residencial Ravi Lucca Mendonça, 75
Marmiteiros
33357702 Vasconcelos de Minas / AL","Núcleo de Costela, 98
Luxemburgo
41453-375 Ferreira dos Dourados / AM",7000,1,não
Otávio Albuquerque,33206869419,"Parque de Almeida, 22
Baleia
20298-668 Albuquerque / RN",51 0472 2485,santosmarcela@example.net,"Parque de Almeida, 22
Baleia
20298-668 Albuquerque / RN","Parque Rocha, 2
Independência
03397-733 da Rosa / RO",7000,3,não
Clara das Neves,24443174916,"Largo de Albuquerque, 4
Alta Tensão 1ª Seção
73522-226 Ribeiro / PB",(081) 3504-9451,anaborges@example.org,"Largo de Albuquerque, 4
Alta Tensão 1ª Seção
73522-226 Ribeiro / PB","Distrito de Fernandes, 50
Araguaia
39506261 Almeida / AC",10000,1,não
Anthony Siqueira,93778138674,"Trecho Andrade
São Gabriel
35852-176 da Mata / PE",0500 673 6635,ana-julia18@example.com,"Trecho Andrade
São Gabriel
35852-176 da Mata / PE","Loteamento Melina Pires, 130
Vila São Paulo
46840237 Costela de Goiás / MA",3000,1,não
Ana Cecília Garcia,89032040261,"Rua Jesus, 353
Parque São Pedro
43194-704 Pastor de Rios / AL",+55 (011) 1582-7850,carvalhooliver@example.com,"Rua Jesus, 353
Parque São Pedro
43194-704 Pastor de Rios / AL","Vale Amanda Campos, 274
Vila Sumaré
01937-574 Andrade / DF",5000,1,não
Sr. Kevin Campos,35120809959,"Vila de Moreira
Beija Flor
16435-985 Cavalcanti / ES",(071) 0094-3753,caldeiradavi-lucas@example.com,"Vila de Moreira
Beija Flor
16435-985 Cavalcanti / ES","Trevo de Pinto, 876
Miramar
18080-335 Oliveira de Goiás / MA",2000,2,sim
Bruna Cunha,91971371038,"Estrada de da Conceição, 33
São Sebastião
15953-336 da Paz da Praia / AL",+55 (031) 1011 5890,heloisamoreira@example.com,"Estrada de da Conceição, 33
São Sebastião
15953-336 da Paz da Praia / AL","Colônia da Mata, 43
Jaraguá
51533-770 Nunes dos Dourados / RR",10000,4,sim
Maria Luísa Sales,49955636877,"Vale Martins, 86
Esplanada
54743-444 Gonçalves / PB",+55 (071) 4656 0526,juan07@example.org,"Vale Martins, 86
Esplanada
54743-444 Gonçalves / PB","Pátio de Vargas
Madri
95346-048 Cunha / TO",4000,1,sim
Matteo da Cunha,26897004686,"Sítio Aragão, 5
Vila Antena
45413980 Borges / AM",(031) 5284-0725,maria-julia73@example.com,"Sítio Aragão, 5
Vila Antena
45413980 Borges / AM","Lago Bento Araújo, 19
Belmonte
72312959 Lopes / RJ",3000,4,não
Kamilly Santos,00573359234,"Loteamento de Vasconcelos, 94
Caiçara - Adelaide
18141-106 Barros de Nunes / RJ",84 4220-5699,esteraragao@example.org,"Loteamento de Vasconcelos, 94
Caiçara - Adelaide
18141-106 Barros de Nunes / RJ","Trevo Allana Rocha, 77
Betânia
97710-487 da Rocha Alegre / ES",8000,5,sim
Josué Silva,23348423892,"Fazenda Moreira, 52
Santo Agostinho
14074-511 Machado / RN",+55 (061) 0753-0852,gabriela59@example.com,"Fazenda Moreira, 52
Santo Agostinho
14074-511 Machado / RN","Trecho Casa Grande, 9
Varzea Da Palma
57564-633 Pires da Praia / AM",7000,5,não
Sr. Diogo Araújo,91027241384,"Ladeira de Brito, 61
Ribeiro De Abreu
08807-466 Pereira do Campo / GO",(011) 9150-6795,ana-luizada-paz@example.org,"Ladeira de Brito, 61
Ribeiro De Abreu
08807-466 Pereira do Campo / GO","Passarela Porto, 69
Jaqueline
32062335 Novaes do Norte / RO",6000,5,sim
Théo Pires,91738617907,"Rodovia Noah Novais, 88
Vila Da Luz
21275-625 Pimenta do Oeste / PA",(021) 7753 3748,joao-miguelaparecida@example.com,"Rodovia Noah Novais, 88
Vila Da Luz
21275-625 Pimenta do Oeste / PA","Aeroporto Marcela Albuquerque, 98
Satelite
82483284 Azevedo / DF",2000,1,não
Antônio Câmara,11363057261,"Lago Carvalho, 7
São Jorge 3ª Seção
28693075 Sales / AL",31 4500 9172,juanpimenta@example.org,"Lago Carvalho, 7
São Jorge 3ª Seção
28693075 Sales / AL","Conjunto da Costa, 2
Vila Nova Gameleira 2ª Seção
63903-519 da Mata / TO",9000,5,não
Srta. Manuella Moraes,08117387102,"Loteamento Caio Guerra
Beija Flor
28586-239 Silva / SP",+55 51 6305 3418,sfonseca@example.com,"Loteamento Caio Guerra
Beija Flor
28586-239 Silva / SP","Morro Lara Melo, 43
Maria Goretti
53831-272 Araújo do Norte / DF",2000,4,não
Sra. Sophia Barros,50956379448,"Fazenda Moura, 311
Vila Cloris
95669-605 Caldeira / TO",+55 (031) 4488 1427,pietro69@example.org,"Fazenda Moura, 311
Vila Cloris
95669-605 Caldeira / TO","Vila Stephany Novaes, 773
Conjunto Minas Caixa
45545-568 Rios / GO",2000,4,não
Sra. Olivia Sá,47785766320,"Conjunto de Rocha, 89
Pantanal
67027789 Almeida do Campo / TO",41 5758 1347,maria-alice95@example.org,"Conjunto de Rocha, 89
Pantanal
67027789 Almeida do Campo / TO","Travessa da Luz, 72
Itaipu
27365-769 Borges / RN",6000,3,não
Lavínia Peixoto,38489329461,"Rodovia de Guerra, 52
Aparecida 7ª Seção
57360969 Pastor / SC",51 9875 3652,nmartins@example.com,"Rodovia de Guerra, 52
Aparecida 7ª Seção
57360969 Pastor / SC","Jardim Peixoto, 9
Etelvina Carneiro
55095808 Porto / RO",4000,5,sim
Ana Lívia Marques,66869866403,"Chácara Thiago Rodrigues, 25
Santa Cecilia
05533-677 da Conceição / GO",11 5738 7432,bruna21@example.net,"Chácara Thiago Rodrigues, 25
Santa Cecilia
05533-677 da Conceição / GO","Loteamento Bárbara Araújo, 946
Conjunto Jatoba
59784332 Nascimento Grande / MS",3000,2,não
João Lucas Sales,41909684120,"Lagoa Mendonça
Conjunto Floramar
35243-089 Ferreira / BA",+55 (061) 2997-7698,benicio37@example.net,"Lagoa Mendonça
Conjunto Floramar
35243-089 Ferreira / BA","Avenida Raquel da Mata, 41
Nazare
96411880 Moura da Prata / BA",10000,1,sim
Emilly Ferreira,47063902301,"Passarela Milena Fogaça, 58
Chácara Leonina
59441310 Ferreira Grande / AC",(041) 1746 0400,nsa@example.net,"Passarela Milena Fogaça, 58
Chácara Leonina
59441310 Ferreira Grande / AC","Conjunto de Correia, 4
Indaiá
89019-758 Duarte de da Mata / SP",6000,1,sim
